product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN23584,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.2,130.0
JN23592,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,3.9,31.0
JN23593,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,3.9,31.0
JN23596,LINARIA,Men Mid-Rise Clean Look Jeans,Other/Unspecified,Mid-Rise,470.0,1299.0,63.82,3.9,31.0
JN23598,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.1,25.0
JN23604,LINARIA,Men Jogger Jeans,Other/Unspecified,Not Specified,470.0,1299.0,63.82,4.6,5.0
JN23606,LINARIA,Men Cotton Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.6,5.0
JN23609,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,418.0,1299.0,67.82,3.1,35.0
JN23610,LINARIA,Men Straight Fit Cotton Jeans,Straight Fit,Not Specified,418.0,1299.0,67.82,3.1,35.0
JN23612,LINARIA,Mildly Distressed Jeans,Other/Unspecified,Not Specified,418.0,1299.0,67.82,4.2,42.0
JN23613,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,418.0,1299.0,67.82,4.2,42.0
JN23616,LINARIA,Slash Knee Heavy Fade Jeans,Other/Unspecified,Not Specified,418.0,1299.0,67.82,4.2,42.0
JN23621,LINARIA,Men Tapered Fit Mid-Rise Jeans,Tapered Fit,Mid-Rise,418.0,1299.0,67.82,4.0,63.0
JN23624,LINARIA,Men Tapered Fit Cotton Jeans,Tapered Fit,Not Specified,418.0,1299.0,67.82,4.3,264.0
JN23631,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,611.0,1299.0,52.96,4.3,264.0
JN23633,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,377.0,1299.0,70.98,4.2,130.0
JN23634,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,377.0,1299.0,70.98,4.2,130.0
JN23636,LINARIA,Men Slim Fit Slash Knee Jeans,Slim Fit,Not Specified,377.0,1299.0,70.98,4.2,130.0
JN23640,LINARIA,Men Classic Slim Fit Jeans,Slim Fit,Not Specified,378.0,1299.0,70.9,4.2,130.0
JN23642,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,378.0,1299.0,70.9,3.9,31.0
JN23646,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,377.0,1299.0,70.98,3.9,31.0
JN23648,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,378.0,1299.0,70.9,4.1,25.0
JN23649,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,377.0,1299.0,70.98,4.1,25.0
JN23656,LINARIA,Men Slash Knee Cotton Jeans,Other/Unspecified,Not Specified,380.0,1299.0,70.75,4.6,5.0
JN23665,LINARIA,Men Skinny Fit Jeans,Skinny Fit,Not Specified,380.0,1299.0,70.75,4.2,42.0
JN23668,LINARIA,Men Cotton Regular Fit Jeans,Regular Fit,Not Specified,378.0,1299.0,70.9,4.0,63.0
JN23671,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.0,63.0
JN23672,LINARIA,Men Skinny Fit Jeans,Skinny Fit,Not Specified,380.0,1299.0,70.75,4.0,63.0
JN23677,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.3,264.0
JN23678,LINARIA,Men Slim Fit Mid Rise Jeans,Slim Fit,Mid-Rise,418.0,1299.0,67.82,4.3,264.0
JN23680,LINARIA,Men Classic Skinny Fit Jeans,Skinny Fit,Not Specified,380.0,1299.0,70.75,4.3,264.0
JN23681,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,419.0,1299.0,67.74,4.3,264.0
JN23684,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.2,130.0
JN23686,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.2,130.0
JN23687,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,380.0,1299.0,70.75,4.2,130.0
JN23690,LINARIA,Slim Fit Slash Knee Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.2,130.0
JN23692,LINARIA,Men Skinny Fit Mid-Rise Jeans,Skinny Fit,Mid-Rise,380.0,1299.0,70.75,3.9,31.0
JN23693,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,418.0,1299.0,67.82,3.9,31.0
JN23695,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,3.9,31.0
JN23696,LINARIA,Men Jeans,Other/Unspecified,Not Specified,378.0,1299.0,70.9,3.9,31.0
JN23698,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,380.0,1299.0,70.75,4.1,25.0
JN23699,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,418.0,1299.0,67.82,4.1,25.0
JN23703,LINARIA,Men Straight Fit Jeans,Straight Fit,Not Specified,419.0,1299.0,67.74,4.6,5.0
JN23704,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,419.0,1299.0,67.74,4.6,5.0
JN23706,LINARIA,Men Classic Slim Fit Jeans,Slim Fit,Not Specified,419.0,1299.0,67.74,4.6,5.0
JN23709,LINARIA,Men Regular Fit Jeans,Regular Fit,Not Specified,419.0,1299.0,67.74,3.1,35.0
JN23710,LINARIA,Mildly Distressed Jeans,Other/Unspecified,Not Specified,419.0,1299.0,67.74,3.1,35.0
JN23716,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.2,42.0
JN23718,LINARIA,Men Highly Distressed Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.0,63.0
JN23721,LINARIA,Men Cotton Heavy Fade Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.0,63.0
JN23722,LINARIA,Men Tapered Fit Jeans,Tapered Fit,Not Specified,420.0,1299.0,67.67,4.0,63.0
JN23727,LINARIA,Mildly Distressed Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.3,264.0
